text,label,domain,timestamp,clean_text,tokens,joined_tokens,vader_compound,vader_pos,vader_neu,vader_neg,cluster
The luggage process was non-refundable and the staff were very helpful.!!!,neutral,travel,2025-07-25 08:39:09.546337,The luggage process was non-refundable and the staff were very helpful!,"['luggage', 'process', 'non-refundable', 'staff', 'helpful']",luggage process non-refundable staff helpful,0.5244,0.253,0.747,0.0,5
I want to confirm my itinerary for the scenic itinerary to Paris.,positive,travel,2025-07-25 21:45:21.667853,I want to confirm my itinerary for the scenic itinerary to Paris.,"['want', 'confirm', 'itinerary', 'scenic', 'itinerary', 'paris']",want confirm itinerary scenic itinerary paris,0.0772,0.106,0.894,0.0,2
Our hotel to Dubai was rescheduled and the experience was non-refundable.,negative,travel,2025-07-25 18:07:33.789368,Our hotel to Dubai was rescheduled and the experience was non-refundable.,"['hotel', 'dubai', 'rescheduled', 'experience', 'non-refundable']",hotel dubai rescheduled experience non-refundable,0.0,0.0,1.0,0.0,0
Our refund to Dubai was delayed and the experience was disappointing.,negative,travel,2025-07-25 17:36:45.910883,Our refund to Dubai was delayed and the experience was disappointing.,"['refund', 'dubai', 'delayed', 'experience', 'disappointing']",refund dubai delayed experience disappointing,-0.6249,0.0,0.638,0.362,0
Our check-in to Paris was enjoyed and the experience was wonderful.,positive,travel,2025-07-25 21:28:58.032398,Our check-in to Paris was enjoyed and the experience was wonderful.,"['check-in', 'paris', 'enjoyed', 'experience', 'wonderful']",check-in paris enjoyed experience wonderful,0.7906,0.438,0.562,0.0,0
My luggage was cancelled at the airport and I need assistance.,negative,travel,2025-07-25 08:49:10.153913,My luggage was cancelled at the airport and I need assistance.,"['luggage', 'cancelled', 'airport', 'need', 'assistance']",luggage cancelled airport need assistance,-0.25,0.0,0.833,0.167,1
I want to confirm my seat for the first-class seat to Paris.,positive,travel,2025-07-26 03:37:22.275429,I want to confirm my seat for the first-class seat to Paris.,"['want', 'confirm', 'seat', 'first-class', 'seat', 'paris']",want confirm seat first-class seat paris,0.0772,0.106,0.894,0.0,2
Our hotel t umm o New York was cancelled and the experience was terrible.,negative,travel,2025-07-25 15:52:34.396944,Our hotel t umm o New York was cancelled and the experience was terrible.,"['hotel', 'umm', 'new', 'york', 'cancelled', 'experience', 'terrible']",hotel umm new york cancelled experience terrible,-0.6249,0.0,0.702,0.298,0
The airline upgraded my voucher and offered a wonderful travel voucher.,positive,travel,2025-07-25 20:16:46.518459,The airline upgraded my voucher and offered a wonderful travel voucher.,"['airline', 'upgraded', 'voucher', 'offered', 'wonderful', 'travel', 'voucher']",airline upgraded voucher offered wonderful travel voucher,0.5719,0.27,0.73,0.0,4
My refund was enjoyed at the airport and I need assistance. ?!?,positive,travel,2025-07-25 10:48:58.639974,My refund was enjoyed at the airport and I need assistance. ?,"['refund', 'enjoyed', 'airport', 'need', 'assistance']",refund enjoyed airport need assistance,0.5106,0.231,0.769,0.0,1
The destination process was disappointing and the staff were very helpful.,negative,travel,2025-07-25 07:29:10.761489,The destination process was disappointing and the staff were very helpful.,"['destination', 'process', 'disappointing', 'staff', 'helpful']",destination process disappointing staff helpful,-0.0276,0.202,0.589,0.209,5
Our flight to Dubai was delayed and the experience was scenic.,neutral,travel,2025-07-25 16:45:22.883004,Our flight to Dubai was delayed and the experience was scenic.,"['flight', 'dubai', 'delayed', 'experience', 'scenic']",flight dubai delayed experience scenic,-0.2263,0.0,0.84,0.16,0
I want to confirm my hotel for the scenic hotel to Paris.,positive,travel,2025-07-25 11:41:35.004520,I want to confirm my hotel for the scenic hotel to Paris.,"['want', 'confirm', 'hotel', 'scenic', 'hotel', 'paris']",want confirm hotel scenic hotel paris,0.0772,0.106,0.894,0.0,2
The flight pro like cess was scenic and the staff were very helpful.,neutral,travel,2025-07-25 18:06:47.126035,The flight pro like cess was scenic and the staff were very helpful.,"['flight', 'pro', 'like', 'cess', 'scenic', 'staff', 'helpful']",flight pro like cess scenic staff helpful,0.6801,0.337,0.663,0.0,5
Our refund to Tokyo was cancelled and the experience was disappointing.,neutral,travel,2025-07-25 11:31:59.247550,Our refund to Tokyo was cancelled and the experience was disappointing.,"['refund', 'tokyo', 'cancelled', 'experience', 'disappointing']",refund tokyo cancelled experience disappointing,-0.6369,0.0,0.634,0.366,0
I want to confirm my check-in for the scenic check-in to Paris.,negative,travel,2025-07-26 03:45:11.369065,I want to confirm my check-in for the scenic check-in to Paris.,"['want', 'confirm', 'check-in', 'scenic', 'check-in', 'paris']",want confirm check-in scenic check-in paris,0.0772,0.106,0.894,0.0,2
My check-in was delayed at the airport and I need assistance.,negative,travel,2025-07-25 14:46:23.490580,My check-in was delayed at the airport and I need assistance.,"['check-in', 'delayed', 'airport', 'need', 'assistance']",check-in delayed airport need assistance,-0.2263,0.0,0.84,0.16,1
Our voucher to Rome was enjoyed and the experience was scenic.,positive,travel,2025-07-25 15:11:35.612096,Our voucher to Rome was enjoyed and the experience was scenic.,"['voucher', 'rome', 'enjoyed', 'experience', 'scenic']",voucher rome enjoyed experience scenic,0.5106,0.248,0.752,0.0,0
The refund process was scenic and the staff were very helpful.!!!,positive,travel,2025-07-26 06:57:47.733611,The refund process was scenic and the staff were very helpful!,"['refund', 'process', 'scenic', 'staff', 'helpful']",refund process scenic staff helpful,0.5244,0.253,0.747,0.0,5
Our booking to Paris was booked and the experience was overbooked.,neutral,travel,2025-07-25 16:13:59.855126,Our booking to Paris was booked and the experience was overbooked.,"['booking', 'paris', 'booked', 'experience', 'overbooked']",booking paris booked experience overbooked,0.0,0.0,1.0,0.0,0
The booking process was scenic and the staff were very helpful.,negative,travel,2025-07-25 18:37:11.976641,The booking process was scenic and the staff were very helpful.,"['booking', 'process', 'scenic', 'staff', 'helpful']",booking process scenic staff helpful,0.4754,0.236,0.764,0.0,5
I have a overbooked refund at the Grand Hyatt that like  I need to get a refund for.,negative,travel,2025-07-25 18:38:24.098156,I have a overbooked refund at the Grand Hyatt that like I need to get a refund for.,"['overbooked', 'refund', 'grand', 'hyatt', 'like', 'need', 'get', 'refund']",overbooked refund grand hyatt like need get refund,0.6705,0.256,0.744,0.0,3
The luggage process was scenic and the staff were very helpful.,negative,travel,2025-07-26 01:26:36.219672,The luggage process was scenic and the staff were very helpful.,"['luggage', 'process', 'scenic', 'staff', 'helpful']",luggage process scenic staff helpful,0.4754,0.236,0.764,0.0,5
[REF-8688] Our voucher to London was cancelled and the experience was overbooked.,neutral,travel,2025-07-26 05:00:48.341187,[REF-8688] Our voucher to London was cancelled and the experience was overbooked.,"['ref-8688', 'voucher', 'london', 'cancelled', 'experience', 'overbooked']",ref-8688 voucher london cancelled experience overbooked,-0.25,0.0,0.846,0.154,0
I have a first-class voucher at the Grand Hyatt that I need to get a voucher for.,positive,travel,2025-07-25 18:10:00.462702,I have a first-class voucher at the Grand Hyatt that I need to get a voucher for.,"['first-class', 'voucher', 'grand', 'hyatt', 'need', 'get', 'voucher']",first-class voucher grand hyatt need get voucher,0.4588,0.158,0.842,0.0,3
The airline upgraded my booking and offered a first-class travel booking.,positive,travel,2025-07-26 08:15:12.584217,The airline upgraded my booking and offered a first-class travel booking.,"['airline', 'upgraded', 'booking', 'offered', 'first-class', 'travel', 'booking']",airline upgraded booking offered first-class travel booking,0.0,0.0,1.0,0.0,4
My seat was booked at the airport and I need assistance.!!!,neutral,travel,2025-07-25 23:58:24.705732,My seat was booked at the airport and I need assistance!,"['seat', 'booked', 'airport', 'need', 'assistance']",seat booked airport need assistance,0.0,0.0,1.0,0.0,1
Our check-in to London was booked and the experience was terrible.,negative,travel,2025-07-25 20:37:36.827248,Our check-in to London was booked and the experience was terrible.,"['check-in', 'london', 'booked', 'experience', 'terrible']",check-in london booked experience terrible,-0.4767,0.0,0.763,0.237,0
The seat process was wonderful and the staff were very helpful.,positive,travel,2025-07-26 00:54:48.948763,The seat process was wonderful and the staff were very helpful.,"['seat', 'process', 'wonderful', 'staff', 'helpful']",seat process wonderful staff helpful,0.7778,0.43,0.57,0.0,5
I want to confirm my reservation for the first-class reservati umm on to Paris.,positive,travel,2025-07-26 06:57:01.070278,I want to confirm my reservation for the first-class reservati umm on to Paris.,"['want', 'confirm', 'reservation', 'first-class', 'reservati', 'umm', 'paris']",want confirm reservation first-class reservati umm paris,0.0772,0.091,0.909,0.0,2
The voucher process was scenic and the staff were very helpful.,positive,travel,2025-07-25 16:01:13.191793,The voucher process was scenic and the staff were very helpful.,"['voucher', 'process', 'scenic', 'staff', 'helpful']",voucher process scenic staff helpful,0.4754,0.236,0.764,0.0,5
I want to confirm my luggage for the disappointing luggage to Paris.!!!,negative,travel,2025-07-26 10:14:25.313308,I want to confirm my luggage for the disappointing luggage to Paris!,"['want', 'confirm', 'luggage', 'disappointing', 'luggage', 'paris']",want confirm luggage disappointing luggage paris,-0.4926,0.088,0.676,0.236,2
My check-in was delayed at the airport and I need assistance. ?!?,negative,travel,2025-07-26 01:52:37.434823,My check-in was delayed at the airport and I need assistance. ?,"['check-in', 'delayed', 'airport', 'need', 'assistance']",check-in delayed airport need assistance,-0.2263,0.0,0.853,0.147,1
I want to confirm my voucher for the scenic voucher to Paris.,neutral,travel,2025-07-26 06:18:49.556339,I want to confirm my voucher for the scenic voucher to Paris.,"['want', 'confirm', 'voucher', 'scenic', 'voucher', 'paris']",want confirm voucher scenic voucher paris,0.0772,0.106,0.894,0.0,2
My refund was upgraded at the airport and I need assistance.,positive,travel,2025-07-26 04:13:01.677854,My refund was upgraded at the airport and I need assistance.,"['refund', 'upgraded', 'airport', 'need', 'assistance']",refund upgraded airport need assistance,0.0,0.0,1.0,0.0,1
My check-in was booked at the airport and I need assistance.!!!,positive,travel,2025-07-25 14:55:13.799369,My check-in was booked at the airport and I need assistance!,"['check-in', 'booked', 'airport', 'need', 'assistance']",check-in booked airport need assistance,0.0,0.0,1.0,0.0,1
I have a convenient booking at the Grand Hyatt that I need to get a booking for.,positive,travel,2025-07-25 14:54:25.920884,I have a convenient booking at the Grand Hyatt that I need to get a booking for.,"['convenient', 'booking', 'grand', 'hyatt', 'need', 'get', 'booking']",convenient booking grand hyatt need get booking,0.4588,0.158,0.842,0.0,3
The seat process was non-refundable and the staff were very helpful.,negative,travel,2025-07-25 13:16:38.042399,The seat process was non-refundable and the staff were very helpful.,"['seat', 'process', 'non-refundable', 'staff', 'helpful']",seat process non-refundable staff helpful,0.4754,0.236,0.764,0.0,5
I want to confirm my destination for the terrible destination to Paris.,negative,travel,2025-07-25 14:43:50.163915,I want to confirm my destination for the terrible destination to Paris.,"['want', 'confirm', 'destination', 'terrible', 'destination', 'paris']",want confirm destination terrible destination paris,-0.4215,0.09,0.694,0.215,2
My hotel was delayed at the airport and I need assistance.,negative,travel,2025-07-25 19:39:02.285430,My hotel was delayed at the airport and I need assistance.,"['hotel', 'delayed', 'airport', 'need', 'assistance']",hotel delayed airport need assistance,-0.2263,0.0,0.84,0.16,1
Our voucher to Tokyo was enjoyed and the experience was convenient.,positive,travel,2025-07-25 14:09:14.406945,Our voucher to Tokyo was enjoyed and the experience was convenient.,"['voucher', 'tokyo', 'enjoyed', 'experience', 'convenient']",voucher tokyo enjoyed experience convenient,0.5106,0.248,0.752,0.0,0
The destination process was overbooked and the staff were very helpful.,negative,travel,2025-07-25 19:05:26.528460,The destination process was overbooked and the staff were very helpful.,"['destination', 'process', 'overbooked', 'staff', 'helpful']",destination process overbooked staff helpful,0.4754,0.236,0.764,0.0,5
My check-in was lost at the airport and I need assistance.,neutral,travel,2025-07-26 03:03:38.649975,My check-in was lost at the airport and I need assistance.,"['check-in', 'lost', 'airport', 'need', 'assistance']",check-in lost airport need assistance,-0.3182,0.0,0.813,0.187,1
Our voucher to New York was rescheduled and the experience was non-refundable.,negative,travel,2025-07-26 01:25:50.771491,Our voucher to New York was rescheduled and the experience was non-refundable.,"['voucher', 'new', 'york', 'rescheduled', 'experience', 'non-refundable']",voucher new york rescheduled experience non-refundable,0.0,0.0,1.0,0.0,0
The seat process was first-class and the staff were very helpful.,positive,travel,2025-07-26 10:05:02.893006,The seat process was first-class and the staff were very helpful.,"['seat', 'process', 'first-class', 'staff', 'helpful']",seat process first-class staff helpful,0.4754,0.236,0.764,0.0,5
I want to confirm my refund for the terrible refund to Paris.,neutral,travel,2025-07-25 14:34:15.014521,I want to confirm my refund for the terrible refund to Paris.,"['want', 'confirm', 'refund', 'terrible', 'refund', 'paris']",want confirm refund terrible refund paris,-0.4215,0.09,0.694,0.215,2
The destination process was wonderful and the staff were very helpful.,positive,travel,2025-07-26 03:08:27.136036,The destination process was wonderful and the staff were very helpful.,"['destination', 'process', 'wonderful', 'staff', 'helpful']",destination process wonderful staff helpful,0.7778,0.43,0.57,0.0,5
The refund process was disappointing and the staff were very helpful.,neutral,travel,2025-07-26 13:49:39.257551,The refund process was disappointing and the staff were very helpful.,"['refund', 'process', 'disappointing', 'staff', 'helpful']",refund process disappointing staff helpful,-0.0276,0.202,0.589,0.209,5
The airline delayed my flight and offered a scenic travel flight.,negative,travel,2025-07-26 01:51:51.379066,The airline delayed my flight and offered a scenic travel flight.,"['airline', 'delayed', 'flight', 'offered', 'scenic', 'travel', 'flight']",airline delayed flight offered scenic travel flight,-0.2263,0.0,0.84,0.16,4
The voucher process was terrible and the staff were very helpful.,negative,travel,2025-07-25 19:38:03.500582,The voucher process was terrible and the staff were very helpful.,"['voucher', 'process', 'terrible', 'staff', 'helpful']",voucher process terrible staff helpful,-0.0018,0.204,0.592,0.204,5
The airline upgraded my voucher and offered a scenic travel voucher.!!!,positive,travel,2025-07-26 13:12:15.622097,The airline upgraded my voucher and offered a scenic travel voucher!,"['airline', 'upgraded', 'voucher', 'offered', 'scenic', 'travel', 'voucher']",airline upgraded voucher offered scenic travel voucher,0.0,0.0,1.0,0.0,4
My flight was cancelled at the airport and I need assistance.!!!,neutral,travel,2025-07-26 12:46:27.743612,My flight was cancelled at the airport and I need assistance!,"['flight', 'cancelled', 'airport', 'need', 'assistance']",flight cancelled airport need assistance,-0.3164,0.0,0.814,0.186,1
My voucher was enjoyed at the airport and I need assistance.,positive,travel,2025-07-26 08:13:39.865127,My voucher was enjoyed at the airport and I need assistance.,"['voucher', 'enjoyed', 'airport', 'need', 'assistance']",voucher enjoyed airport need assistance,0.5106,0.248,0.752,0.0,1
I have a scenic itinerary at the Grand Hyatt that I need to get a itinerary for.,negative,travel,2025-07-26 15:19:51.986642,I have a scenic itinerary at the Grand Hyatt that I need to get a itinerary for.,"['scenic', 'itinerary', 'grand', 'hyatt', 'need', 'get', 'itinerary']",scenic itinerary grand hyatt need get itinerary,0.4588,0.158,0.842,0.0,3
The hotel process was first-class and the staff were very helpful.,positive,travel,2025-07-26 14:43:04.108158,The hotel process was first-class and the staff were very helpful.,"['hotel', 'process', 'first-class', 'staff', 'helpful']",hotel process first-class staff helpful,0.4754,0.236,0.764,0.0,5
The airline found my booking and offered a non-refundable travel booking.,negative,travel,2025-07-26 09:30:16.229673,The airline found my booking and offered a non-refundable travel booking.,"['airline', 'found', 'booking', 'offered', 'non-refundable', 'travel', 'booking']",airline found booking offered non-refundable travel booking,0.0,0.0,1.0,0.0,4
My luggage was booked at the airport and I need assistance.!!!,negative,travel,2025-07-26 02:46:28.351188,My luggage was booked at the airport and I need assistance!,"['luggage', 'booked', 'airport', 'need', 'assistance']",luggage booked airport need assistance,0.0,0.0,1.0,0.0,1
My hotel was confirmed at the airport and I need assistance.,positive,travel,2025-07-26 08:19:40.472703,My hotel was confirmed at the airport and I need assistance.,"['hotel', 'confirmed', 'airport', 'need', 'assistance']",hotel confirmed airport need assistance,0.0,0.0,1.0,0.0,1
The voucher process was non-refundable and the staff like  were very helpful. ?!?,negative,travel,2025-07-26 16:54:52.594218,The voucher process was non-refundable and the staff like were very helpful. ?,"['voucher', 'process', 'non-refundable', 'staff', 'like', 'helpful']",voucher process non-refundable staff like helpful,0.6801,0.337,0.663,0.0,5
The itinerary process was non-refundable and the staff were very helpful.,negative,travel,2025-07-26 02:23:04.715734,The itinerary process was non-refundable and the staff were very helpful.,"['itinerary', 'process', 'non-refundable', 'staff', 'helpful']",itinerary process non-refundable staff helpful,0.4754,0.236,0.764,0.0,5
[REF-9144] Our check-in to Tokyo was delayed and the experience was non-refundable....,neutral,travel,2025-07-26 09:00:16.837249,[REF-9144] Our check-in to Tokyo was delayed and the experience was non-refundable.,"['ref-9144', 'check-in', 'tokyo', 'delayed', 'experience', 'non-refundable']",ref-9144 check-in tokyo delayed experience non-refundable,-0.2263,0.0,0.853,0.147,0
[REF-7791] I want to confirm my hotel for the non-refundable hotel to Paris....,neutral,travel,2025-07-26 01:32:28.958764,[REF-7791] I want to confirm my hotel for the non-refundable hotel to Paris.,"['ref-7791', 'want', 'confirm', 'hotel', 'non-refundable', 'hotel', 'paris']",ref-7791 want confirm hotel non-refundable hotel paris,0.0772,0.098,0.902,0.0,2
Our voucher to London was cancelled and the experience was non-refundable.,negative,travel,2025-07-26 13:09:41.080279,Our voucher to London was cancelled and the experience was non-refundable.,"['voucher', 'london', 'cancelled', 'experience', 'non-refundable']",voucher london cancelled experience non-refundable,-0.25,0.0,0.833,0.167,0
I want to confirm my booking for the terrible booking to Paris....,negative,travel,2025-07-26 01:12:53.201794,I want to confirm my booking for the terrible booking to Paris.,"['want', 'confirm', 'booking', 'terrible', 'booking', 'paris']",want confirm booking terrible booking paris,-0.4215,0.09,0.694,0.215,2
The airline cancelled my flight and offered a disappointing travel flight.,neutral,travel,2025-07-26 10:41:05.323310,The airline cancelled my flight and offered a disappointing travel flight.,"['airline', 'cancelled', 'flight', 'offered', 'disappointing', 'travel', 'flight']",airline cancelled flight offered disappointing travel flight,-0.6369,0.0,0.634,0.366,4
THE VOUCHER PROCESS WAS OVERBOOKED AND THE STAFF WERE VERY HELPFUL.,neutral,travel,2025-07-26 09:32:17.444825,THE VOUCHER PROCESS WAS OVERBOOKED AND THE STAFF WERE VERY HELPFUL.,"['voucher', 'process', 'overbooked', 'staff', 'helpful']",voucher process overbooked staff helpful,0.4754,0.236,0.764,0.0,5
My check-in was delayed at the airport and I need assistance.,negative,travel,2025-07-26 08:43:29.566340,My check-in was delayed at the airport and I need assistance.,"['check-in', 'delayed', 'airport', 'need', 'assistance']",check-in delayed airport need assistance,-0.2263,0.0,0.84,0.16,1
The itinerary process was disappointing and the staff were very helpful. (ticket:862791),negative,travel,2025-07-26 14:31:41.687855,The itinerary process was disappointing and the staff were very helpful. (ticket:862791),"['itinerary', 'process', 'disappointing', 'staff', 'helpful', 'ticket:862791']",itinerary process disappointing staff helpful ticket:862791,-0.0276,0.19,0.614,0.196,5
Our check-in to Tokyo was lost and the experience was overbooked.,negative,travel,2025-07-26 12:14:53.809370,Our check-in to Tokyo was lost and the experience was overbooked.,"['check-in', 'tokyo', 'lost', 'experience', 'overbooked']",check-in tokyo lost experience overbooked,-0.3182,0.0,0.813,0.187,0
Our luggage to Dubai was found and the experience was disappointing.,neutral,travel,2025-07-26 11:25:05.930885,Our luggage to Dubai was found and the experience was disappointing.,"['luggage', 'dubai', 'found', 'experience', 'disappointing']",luggage dubai found experience disappointing,-0.4939,0.0,0.758,0.242,0
My booking was lost at the airport and I need assistance.,negative,travel,2025-07-26 20:32:18.052401,My booking was lost at the airport and I need assistance.,"['booking', 'lost', 'airport', 'need', 'assistance']",booking lost airport need assistance,-0.3182,0.0,0.813,0.187,1
I have a scenic seat at the Grand Hyatt that I need to get a seat for....,neutral,travel,2025-07-26 19:27:30.173916,I have a scenic seat at the Grand Hyatt that I need to get a seat for.,"['scenic', 'seat', 'grand', 'hyatt', 'need', 'get', 'seat']",scenic seat grand hyatt need get seat,0.4588,0.158,0.842,0.0,3
My booking was enjoyed at the airport and I need assistance.,positive,travel,2025-07-26 19:54:42.295431,My booking was enjoyed at the airport and I need assistance.,"['booking', 'enjoyed', 'airport', 'need', 'assistance']",booking enjoyed airport need assistance,0.5106,0.248,0.752,0.0,1
I want to confirm my reservation for the disappointing reservation to Paris.,negative,travel,2025-07-26 05:05:54.416946,I want to confirm my reservation for the disappointing reservation to Paris.,"['want', 'confirm', 'reservation', 'disappointing', 'reservation', 'paris']",want confirm reservation disappointing reservation paris,-0.4404,0.09,0.69,0.221,2
The refund process was terrible and the staff were very helpful.,negative,travel,2025-07-26 15:38:06.538461,The refund process was terrible and the staff were very helpful.,"['refund', 'process', 'terrible', 'staff', 'helpful']",refund process terrible staff helpful,-0.0018,0.204,0.592,0.204,5
My flight was rescheduled at the airport and I need assistance.,positive,travel,2025-07-26 06:37:18.659977,My flight was rescheduled at the airport and I need assistance.,"['flight', 'rescheduled', 'airport', 'need', 'assistance']",flight rescheduled airport need assistance,0.0,0.0,1.0,0.0,1
The airline cancelled my flight and offered a terrible travel flight.,negative,travel,2025-07-26 13:22:30.781492,The airline cancelled my flight and offered a terrible travel flight.,"['airline', 'cancelled', 'flight', 'offered', 'terrible', 'travel', 'flight']",airline cancelled flight offered terrible travel flight,-0.6249,0.0,0.638,0.362,4
Our luggage to New York was rescheduled and the experience was wonderful.,positive,travel,2025-07-26 05:04:42.903007,Our luggage to New York was rescheduled and the experience was wonderful.,"['luggage', 'new', 'york', 'rescheduled', 'experience', 'wonderful']",luggage new york rescheduled experience wonderful,0.5719,0.252,0.748,0.0,0
The airline confirmed my destination and offered a first-class travel destination.,positive,travel,2025-07-26 17:46:55.024522,The airline confirmed my destination and offered a first-class travel destination.,"['airline', 'confirmed', 'destination', 'offered', 'first-class', 'travel', 'destination']",airline confirmed destination offered first-class travel destination,0.0,0.0,1.0,0.0,4
The reservation process was first-class and the staff were very helpful.,positive,travel,2025-07-26 19:15:07.146037,The reservation process was first-class and the staff were very helpful.,"['reservation', 'process', 'first-class', 'staff', 'helpful']",reservation process first-class staff helpful,0.4754,0.236,0.764,0.0,5
The flight process was non-refundable and the staff were very helpful.,negative,travel,2025-07-26 21:31:19.267553,The flight process was non-refundable and the staff were very helpful.,"['flight', 'process', 'non-refundable', 'staff', 'helpful']",flight process non-refundable staff helpful,0.4754,0.236,0.764,0.0,5
I want to confirm my seat for the scenic seat to Paris.,positive,travel,2025-07-26 07:00:31.389068,I want to confirm my seat for the scenic seat to Paris.,"['want', 'confirm', 'seat', 'scenic', 'seat', 'paris']",want confirm seat scenic seat paris,0.0772,0.106,0.894,0.0,2
[REF-9980] The refund process was disappointing and the staff were very helpful.!!!,negative,travel,2025-07-26 03:36:43.510583,[REF-9980] The refund process was disappointing and the staff were very helpful!,"['ref-9980', 'refund', 'process', 'disappointing', 'staff', 'helpful']",ref-9980 refund process disappointing staff helpful,-0.1025,0.186,0.603,0.211,5
I want to confirm my reservation for the scenic reservation to Paris.,neutral,travel,2025-07-26 12:36:55.632098,I want to confirm my reservation for the scenic reservation to Paris.,"['want', 'confirm', 'reservation', 'scenic', 'reservation', 'paris']",want confirm reservation scenic reservation paris,0.0772,0.106,0.894,0.0,2
Our itinerary to Dubai was cancelled and the experience was overbooked.,negative,travel,2025-07-26 23:43:07.753613,Our itinerary to Dubai was cancelled and the experience was overbooked.,"['itinerary', 'dubai', 'cancelled', 'experience', 'overbooked']",itinerary dubai cancelled experience overbooked,-0.25,0.0,0.833,0.167,0
The itinerary process was disappointing and the staff were very helpful.,negative,travel,2025-07-26 19:36:19.875129,The itinerary process was disappointing and the staff were very helpful.,"['itinerary', 'process', 'disappointing', 'staff', 'helpful']",itinerary process disappointing staff helpful,-0.0276,0.202,0.589,0.209,5
The flight process was overbooked and the staff were very helpful.,negative,travel,2025-07-26 04:42:31.996644,The flight process was overbooked and the staff were very helpful.,"['flight', 'process', 'overbooked', 'staff', 'helpful']",flight process overbooked staff helpful,0.4754,0.236,0.764,0.0,5
Our reservation to New York was lost and the experience was non-refundable.... (ticket:812328),negative,travel,2025-07-26 05:14:44.118159,Our reservation to New York was lost and the experience was non-refundable. (ticket:812328),"['reservation', 'new', 'york', 'lost', 'experience', 'non-refundable', 'ticket:812328']",reservation new york lost experience non-refundable ticket:812328,-0.3182,0.0,0.839,0.161,0
Our flight to Dubai was delayed and the experience was non-refundable.,negative,travel,2025-07-26 21:49:56.239674,Our flight to Dubai was delayed and the experience was non-refundable.,"['flight', 'dubai', 'delayed', 'experience', 'non-refundable']",flight dubai delayed experience non-refundable,-0.2263,0.0,0.84,0.16,0
The itinerary process was terrible and the staff were very helpful.,negative,travel,2025-07-26 13:29:08.361189,The itinerary process was terrible and the staff were very helpful.,"['itinerary', 'process', 'terrible', 'staff', 'helpful']",itinerary process terrible staff helpful,-0.0018,0.204,0.592,0.204,5
The seat process was non-refundable and the staff were very helpful.,neutral,travel,2025-07-26 08:10:20.482704,The seat process was non-refundable and the staff were very helpful.,"['seat', 'process', 'non-refundable', 'staff', 'helpful']",seat process non-refundable staff helpful,0.4754,0.236,0.764,0.0,5
I have a terrible hotel at the Grand Hyatt that I need to get a hotel for.,negative,travel,2025-07-26 14:58:32.604220,I have a terrible hotel at the Grand Hyatt that I need to get a hotel for.,"['terrible', 'hotel', 'grand', 'hyatt', 'need', 'get', 'hotel']",terrible hotel grand hyatt need get hotel,-0.0258,0.142,0.711,0.147,3
The voucher process was wonderful and the staff were very helpful.,positive,travel,2025-07-26 14:32:44.725735,The voucher process was wonderful and the staff were very helpful.,"['voucher', 'process', 'wonderful', 'staff', 'helpful']",voucher process wonderful staff helpful,0.7778,0.43,0.57,0.0,5
My luggage was booked at the airport and I need assistance.,positive,travel,2025-07-26 22:52:56.847250,My luggage was booked at the airport and I need assistance.,"['luggage', 'booked', 'airport', 'need', 'assistance']",luggage booked airport need assistance,0.0,0.0,1.0,0.0,1
[REF-3040] THE AIRLINE DELAYED MY BOOKING AND OFFERED A DISAPPOINTING TRAVEL BOOKING.,negative,travel,2025-07-26 03:53:08.968765,[REF-3040] THE AIRLINE DELAYED MY BOOKING AND OFFERED A DISAPPOINTING TRAVEL BOOKING.,"['ref-3040', 'airline', 'delayed', 'booking', 'offered', 'disappointing', 'travel', 'booking']",ref-3040 airline delayed booking offered disappointing travel booking,-0.6249,0.0,0.662,0.338,4
I WANT TO CONFIRM MY RESERVATION FOR THE NON-REFUNDABLE RESERVATION TO PARIS.,negative,travel,2025-07-26 08:47:21.090280,I WANT TO CONFIRM MY RESERVATION FOR THE NON-REFUNDABLE RESERVATION TO PARIS.,"['want', 'confirm', 'reservation', 'non-refundable', 'reservation', 'paris']",want confirm reservation non-refundable reservation paris,0.0772,0.106,0.894,0.0,2
[REF-4771] My seat was delayed at the airport and I need assistance.!!!,negative,travel,2025-07-27 01:39:33.211796,[REF-4771] My seat was delayed at the airport and I need assistance!,"['ref-4771', 'seat', 'delayed', 'airport', 'need', 'assistance']",ref-4771 seat delayed airport need assistance,-0.2942,0.0,0.834,0.166,1
I want to confirm my booking for the disappointing booking to Paris.,negative,travel,2025-07-26 14:24:45.333311,I want to confirm my booking for the disappointing booking to Paris.,"['want', 'confirm', 'booking', 'disappointing', 'booking', 'paris']",want confirm booking disappointing booking paris,-0.4404,0.09,0.69,0.221,2
The luggage process was terrible and the staff were very helpful.,negative,travel,2025-07-26 09:37:57.454826,The luggage process was terrible and the staff were very helpful.,"['luggage', 'process', 'terrible', 'staff', 'helpful']",luggage process terrible staff helpful,-0.0018,0.204,0.592,0.204,5
MY FLIGHT WAS DELAYED AT THE AIRPORT AND I NEED ASSISTANCE. (ticket:280055),negative,travel,2025-07-26 18:38:09.576341,MY FLIGHT WAS DELAYED AT THE AIRPORT AND I NEED ASSISTANCE. (ticket:280055),"['flight', 'delayed', 'airport', 'need', 'assistance', 'ticket:280055']",flight delayed airport need assistance ticket:280055,-0.3885,0.0,0.807,0.193,1
